,primary_tonnage,bd_opp_total_err,kgCO2_per_kg,exp_extinctions_per_kg,exp_extinctions_err_per_kg,scarcity_weighted_water_use_litres_per_kg
Wheat,8410774.022487959,0.01237749183247747,2.002083736368455,6.454517820380799e-12,1.4716233962990401e-12,5.879683769077519
Sugar cane,3956748.122956312,0.17728365549286482,3.0192172697676254,3.6143254841236164e-11,4.480539321274919e-11,15.25477823620377
Oil palm fruit,2705857.9317602436,0.22822029178980116,7.48512621821229,1.976362955173537e-10,8.434304296284206e-11,22.65527260230353
Sugar beet,8345877.289201984,0.0021553718159686244,1.4488027529499676,4.561881267612007e-13,2.5825587188506535e-13,6.980940872313858
Cassava,13465.880000000001,0.0005257289113459045,1.391862969680086,9.589098276249406e-11,3.904155624035744e-11,21.672650948619765
Cheese,17347121.200000003,0.1090402382795971,2.9765566101456735,2.7237310734867753e-11,6.2857829274633224e-12,10.07828934297316
"Butter, Cream & Ghee",17347121.200000003,0.1090402382795971,2.9765566101456735,2.7237310734867753e-11,6.2857829274633224e-12,10.07828934297316
Water,0,0,0,0,0,0
Fish,0,0,0,0,0,0
Crustaceans,0,0,0,0,0,0
