,kg,kgCO2,exp_extinctions,swwu,exp_extinctions_err,exp_extinctions_per_kg,kgCO2_per_kg,swwu_per_kg,exp_extinctions_per_kg_err,group_name_v7
Chestnut,5.0037644575203985e-05,2.829415728655602e-05,6.2790356603686106e-15,0.0026667501270622378,8.570078462230594e-20,3.4229742413160067e-14,0.00015424370366760946,0.014537609732932071,4.67192088228247e-19,"Legumes, beans, nuts"
Chillies and peppers; green,0.0078307540948494,0.00421317525108779,7.04359617553453e-14,0.3673540972490237,1.4527034575284336e-17,2.4535697132366937e-15,0.00014676195135282462,0.012796430467923734,5.060354280511405e-19,Fruit and vegetables
Cocoa; beans,0.005367164317166088,0.01302831440186376,2.542656277819442e-11,0.057457403118089626,9.610017757438615e-15,1.2922611945602988e-12,0.0006621416067490644,0.0029201734043813117,4.884125760648793e-16,Stimulants and spices
Coconuts,6.139548794859869e-05,3.971545504575576e-05,1.146953689023428e-13,0.0007413160957107868,5.815720637869835e-16,5.095853882503276e-13,0.00017645364213669207,0.0032936277555429875,2.583893567427034e-15,Fruit and vegetables
Coffee; green,0.0012487307757646456,0.0207515639211707,6.500902104834233e-12,0.016031096733935976,9.212565542698577e-16,1.4200784934094178e-12,0.004533040054110573,0.003501885635333518,2.0124231968640762e-16,Stimulants and spices
Cranberries,0.0005706198818877288,0.0007962353796664248,5.4077200962916104e-14,0.030860685665944104,6.284630838491801e-19,2.585085098730765e-14,0.00038062920757851894,0.014752519958707608,3.0042800371176804e-19,Fruit and vegetables
Crustaceans,0.0021962454871892957,,,,,,,,,
Cucumbers and gherkins,0.005148689236170535,0.002760756140255333,9.021298610605001e-15,0.1810216579309073,2.4406377583179778e-18,4.779471962904715e-16,0.0001462644918244481,0.009590503275683908,1.2930466267655332e-19,Fruit and vegetables
Currants,0.0009320288117131233,0.0011436262140969188,7.137927568184808e-15,0.006172980714764047,2.2520842175237134e-19,2.0890572322590304e-15,0.00033470507941393076,0.0018066462406052066,6.591174787545171e-20,Fruit and vegetables
Dates,6.229169983556258e-05,3.8013791882017834e-05,5.331672990400421e-15,0.0034051578406564726,3.577172970921251e-17,2.3347525691890867e-14,0.00016646331915133987,0.014911268998082317,1.5664527436940407e-16,Fruit and vegetables
Eggplants (aubergines),0.00026046185680964393,0.00016408032870933478,2.076367795445818e-15,0.01292146702536262,4.181806667922295e-17,2.174541455237495e-15,0.00017183828296221234,0.013532412596055678,4.3795285098963583e-17,Fruit and vegetables
Eggs; hen; in shell,0.01235046505370742,0.08442219389168631,7.286435944088066e-13,0.22761998516728313,1.0145110573029497e-16,1.6093087757165576e-14,0.001864579316110893,0.005027297878812644,2.240686063951196e-18,Dairy and eggs
Eggs; other bird; in shell,,,,,,,,,,Dairy and eggs
