,Item,Group,tonnage,Pasture_m2,Arable_m2,Scarcity_weighted_water_l,ghg_food,ghg_feed,ghg_total,bd_opp_food,bd_opp_feed,bd_opp_total,bd_opp_food_err,bd_opp_feed_err,bd_opp_total_err,Cons,Cons_err,primary_tonnage
73,Melonseed,"Legumes, beans, nuts",120.2070956160128,0.0,3948751.4629094834,5769534.908239261,183639.5928304501,0.0,183639.5928304501,0.00023164785000855538,0.0,0.00023164785000855538,0.00018156662372387835,0.0,0.00018156662372387835,120.20709561601278,45.52593879201778,207.4880724211082
74,Millet,"Grains, roots, starchy carbohydrates",161.6697973872702,0.0,975857.904622852,4443646.636026353,208189.66005443773,0.0,208189.66005443773,2.1583890321439016e-05,0.0,2.1583890321439016e-05,5.043798233862574e-06,0.0,5.043798233862574e-06,161.6697973872702,17.708514970034297,11965.860392140763
75,Mixed grain,"Grains, roots, starchy carbohydrates",17740.278991415893,0.0,44491847.38144085,119009678.92328641,23613140.89687991,0.0,23613140.89687991,0.001625309838810025,0.0,0.001625309838810025,0.0013523486963415157,0.0,0.0013523486963415157,17740.278991415893,434.4176242626903,184267.82427490398
76,Mushrooms and truffles,Fruit and vegetables,186685.63089551975,0.0,150906973.0188766,808045351.0706544,116311089.56126937,0.0,116311089.56126937,0.0005011749253902608,0.0,0.0005011749253902608,7.451079762166619e-05,0.0,7.451079762166619e-05,186685.63089551975,10118.093143826818,189658.07975724785
77,Mustard seed,"Legumes, beans, nuts",2931.1596573459483,0.0,43109655.94772373,46685706.223037064,3360201.4259585636,0.0,3360201.4259585636,0.0005122936029039765,0.0,0.0005122936029039765,0.0005554075732481361,0.0,0.0005554075732481361,2931.1596573459487,1308.7658050796108,11224.428030518935
78,Nutmeg; mace; cardamoms; raw,Stimulants and spices,2000.1100000000001,0.0,73543938.15139616,31540613.547700003,19445139.052004263,0.0,19445139.052004263,0.0381510499016324,0.0,0.0381510499016324,0.02324125455018015,0.0,0.02324125455018015,2000.11,530.8616048906209,2000.11
79,Oats,"Grains, roots, starchy carbohydrates",592484.4863920558,0.0,1052251549.6632077,2699862109.1571503,965337387.0031505,0.0,965337387.0031505,0.006945896814604197,0.0,0.006945896814604197,0.0005132414682143408,0.0,0.0005132414682143408,592484.4863920558,1214.6950338611246,1139580.9316806886
80,Oil palm fruit,"Legumes, beans, nuts",2705857.9317602436,0.0,1642255898.486037,61301949067.13354,20253688147.77628,0.0,20253688147.77628,0.534775737829343,0.0,0.534775737829343,0.2124993461369432,0.0,0.2124993461369432,2705857.9317602436,436906.1917184897,3150314.9024372185
81,Okra,Fruit and vegetables,16772.47704025103,0.0,12788678.690226473,162193558.5656089,13247677.384079678,0.0,13247677.384079678,0.004094876335626152,0.0,0.004094876335626152,0.0005008382680661126,0.0,0.0005008382680661126,16772.47704025103,0.33884184469363415,16915.28116999866
82,Olives,Fruit and vegetables,253379.78,0.0,996837173.0622175,18346976801.7134,1530027104.7008789,0.0,1530027104.7008789,0.028982472747233846,0.0,0.028982472747233846,0.01693509374893788,0.0,0.01693509374893788,253379.78,46746.19311994704,253408.7070407229
83,Onions and shallots; dry (excluding dehydrated),Fruit and vegetables,663906.0,0.0,166661556.37272257,14013140994.5865,279011458.4693877,0.0,279011458.4693877,0.0023050499209795404,0.0,0.0023050499209795404,0.0012590067333114324,0.0,0.0012590067333114324,663906.0,9541.123172454596,663956.0804343646
