,kgCO2_per_item,exp_extinctions_per_item,scarcity_weighted_water_use_litres_per_item,exp_extinctions_per_item_err
108447,1.0587872046815043,2.523378267772783e-10,6.420992835333849,1.4022455427199544e-12
126061,0.4672748298616277,2.567909725872047e-10,2.9667731737530234,6.018317995111963e-13
180733,0.17052709410811204,6.17829838241535e-12,7.073410710086075,6.110353571858257e-13
197481,0.4765928986999178,1.6140661195832366e-11,7.32761435487555,2.7349089139278392e-14
222791,0.7013584230314516,1.0190094907749223e-11,3.413217622848341,5.042171840339641e-14
227897,0.4812669112188641,1.1469901217148979e-10,2.9186331069699083,2.8972015345453433e-13
260588,1.4321973535258903,7.870643309797842e-10,9.09315977755307,5.6537433367630984e-12
267724,0.7700270579501849,1.8351841947438384e-10,4.66981297115188,7.416835928436098e-13
355925,1.4018244895848875,7.703729177616157e-10,8.900319521259119,5.416486195600798e-12
363515,0.4765928986999178,1.6140661195832366e-11,7.32761435487555,2.7349089139278392e-14
363543,0.4765928986999178,1.6140661195832366e-11,7.32761435487555,2.7349089139278392e-14
515064,0.31723503642154005,9.459543962899721e-11,2.5912786130050964,4.819721715057306e-12
650185,0.4765928986999178,1.6140661195832366e-11,7.32761435487555,2.7349089139278392e-14
734055,0.4812669112188641,1.1469901217148979e-10,2.9186331069699083,2.8972015345453433e-13
